,dtfk1,ft1,dtsk1,dtfk2,ft2,dtsk2,dtfk3,ft3,dtsk3,dtfk4,ft4,dtsk4,dtfk5,ft5,dtsk5,dtfk6,ft6,dtsk6,dtfk7,ft7,dtsk7,dtfk8,ft8,dtsk8,dtfk9,ft9,dtsk9,dtfk10,ft10,dtsk10,dtfk11,ft11,dtsk11,dtfk12,ft12,dtsk12,dtfk13,ft13,dtsk13,dtfk14,ft14,dtsk14,sum,class
45,78,78,110,110,78,109,109,297,109,109,79,109,109,31,78,63,125,78,47,234,78,110,156,62,0,16,94,141,62,109,140,16,62,109,203,63,32,78,109,63,16,62,3921,2
46,78,47,78,94,47,94,93,203,63,125,63,62,0,31,141,109,47,203,94,109,32,78,187,63,62,203,110,78,78,63,109,16,78,125,63,94,78,265,110,78,16,78,3845,2
47,78,16,78,328,31,125,78,172,62,109,79,109,0,16,94,93,251,62,125,109,109,63,78,125,813,156,94,141,62,109,140,16,62,109,203,63,78,219,78,63,16,62,4874,2
48,375,16,78,78,94,62,62,94,94,94,156,250,250,31,141,47,125,94,109,62,94,109,78,141,93,157,235,156,63,62,94,62,94,109,47,78,156,63,109,93,47,110,4562,2
49,94,31,78,219,31,110,63,62,47,47,47,62,0,32,141,62,94,16,47,125,156,78,125,110,172,219,47,63,62,63,79,78,62,94,62,266,16,78,31,110,31,78,3488,2
50,171,63,16,218,63,31,94,47,125,94,156,250,62,94,94,32,46,172,63,15,62,109,78,94,953,1047,47,156,63,62,94,62,94,109,47,78,78,110,172,93,47,110,5671,2
66,109,47,172,172,31,78,78,16,94,94,141,250,250,47,47,94,15,63,62,47,62,47,31,47,0,31,94,63,62,78,32,141,31,16,78,16,16,78,47,63,31,78,3049,2
67,63,15,109,110,62,109,94,31,94,78,172,16,0,47,47,78,172,47,47,125,16,94,31,49,141,31,47,15,63,78,31,94,31,968,63,125,16,78,16,63,31,110,3707,2
68,32,93,16,110,188,62,62,16,78,94,141,250,906,1000,47,78,31,141,94,203,78,91,875,968,735,797,47,63,62,78,32,141,31,16,78,16,110,15,93,63,31,78,8140,2
75,62,16,109,109,16,62,62,32,78,78,31,109,109,31,63,32,140,47,62,32,78,62,110,94,0,47,94,16,188,359,218,47,16,16,47,62,16,78,16,47,46,63,3000,2
76,47,359,94,63,15,47,63,15,32,62,16,47,0,15,94,359,78,47,31,47,16,62,94,78,79,93,94,62,63,94,94,15,62,94,156,16,16,78,15,63,47,47,2969,2
77,63,78,16,110,203,16,78,15,79,78,31,109,0,31,94,59,32,79,125,78,78,62,78,94,703,766,31,16,188,359,218,47,16,16,47,62,47,15,94,47,46,63,4467,2
84,172,437,94,94,94,78,78,94,94,94,31,140,140,31,62,94,141,219,93,16,94,94,110,78,94,125,94,125,63,109,62,94,62,78,94,109,125,78,94,78,78,62,4296,2
85,219,15,94,125,16,78,94,62,94,94,62,78,0,16,62,109,62,110,31,109,125,94,203,78,94,46,32,78,78,63,94,109,62,109,78,78,16,78,46,78,63,78,3310,2
