@relation 'gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,42,43'

@attribute dtsk4 numeric
@attribute ft10 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
94,78,109,1
62,62,94,1
94,78,109,1
391,62,63,1
47,63,32,1
391,62,63,1
219,62,171,1
63,94,46,1
219,62,171,1
266,63,31,1
78,78,78,1
266,63,31,1
281,78,94,1
78,63,141,1
281,78,94,1
94,78,31,1
62,78,63,1
94,78,31,1
125,79,16,1
78,78,47,1
125,79,16,1
94,47,110,1
94,63,16,1
94,47,110,1
125,47,15,1
62,63,32,1
125,47,15,1
78,63,16,1
78,78,16,1
78,63,16,1
156,78,32,1
31,47,78,1
156,78,32,1
78,47,15,1
79,79,31,1
78,47,15,1
235,94,16,1
78,78,32,1
235,94,16,1
94,94,31,1
62,110,16,1
94,94,31,1
110,47,62,1
62,63,62,1
110,47,62,1
109,62,16,2
62,78,16,2
109,62,16,2
250,63,47,2
62,62,31,2
250,63,47,2
78,79,15,1
93,78,31,1
78,79,15,1
125,156,78,1
78,62,813,1
125,156,78,1
94,62,47,1
78,78,47,1
94,62,47,1
390,125,110,1
31,172,313,1
390,125,110,1
156,63,203,1
62,94,63,1
156,63,203,1
250,62,31,2
16,63,31,2
250,62,31,2
110,78,32,1
94,94,62,1
110,78,32,1
109,47,32,1
31,63,47,1
109,47,32,1
109,188,46,2
47,63,47,2
109,188,46,2
91,47,15,1
63,78,15,1
91,47,15,1
63,15,47,1
62,62,16,1
63,15,47,1
140,63,78,2
78,78,63,2
140,63,78,2
80,78,69,2
78,68,63,2
80,78,69,2
78,79,15,1
94,62,47,1
78,79,15,1
141,63,78,1
62,93,31,1
141,63,78,1
62,62,16,1
93,109,47,1
62,62,16,1
328,78,31,1
31,78,281,1
328,78,31,1
172,250,78,2
78,78,172,2
172,250,78,2
94,78,219,1
62,94,204,1
94,78,219,1
250,78,78,1
78,93,16,1
250,78,78,1
171,47,31,1
47,78,15,1
171,47,31,1
78,109,32,1
63,328,31,1
78,109,32,1
187,94,16,2
62,47,46,2
187,94,16,2
62,63,47,2
78,828,62,2
62,63,47,2
78,78,94,1
93,94,125,1
78,78,94,1
156,56,31,1
47,78,31,1
156,56,31,1
438,31,0,1
78,62,31,1
438,31,0,1
594,78,32,1
78,94,47,1
594,78,32,1
63,47,79,1
47,78,63,1
63,47,79,1
225,62,47,1
62,78,62,1
225,62,47,1
140,94,63,1
78,78,31,1
140,94,63,1
380,62,16,1
78,62,31,1
380,62,16,1
79,47,110,1
62,78,47,1
79,47,110,1
172,93,32,1
78,110,31,1
172,93,32,1
62,62,62,1
52,78,47,1
62,62,62,1
109,78,31,2
110,78,31,2
109,78,31,2
78,63,32,1
78,47,235,1
78,63,32,1
203,62,16,1
0,78,31,1
203,62,16,1
78,79,109,1
78,63,125,1
78,79,109,1
110,78,109,1
31,78,109,1
110,78,109,1
79,62,16,2
78,78,32,2
79,62,16,2
157,109,15,1
47,110,63,1
157,109,15,1
140,63,16,2
94,78,16,2
140,63,16,2
78,62,31,2
63,125,47,2
78,62,31,2
172,47,47,2
78,94,62,2
172,47,47,2
78,62,47,2
63,78,62,2
78,62,47,2
125,62,62,1
109,93,94,1
125,62,62,1
125,78,0,2
32,63,94,2
125,78,0,2
78,62,31,2
94,78,94,2
78,62,31,2
94,63,62,1
78,109,109,1
94,63,62,1
78,63,78,2
62,78,62,2
78,63,78,2
156,141,0,1
63,110,0,1
156,141,0,1
78,94,31,2
47,62,0,2
78,94,31,2
141,47,62,1
63,109,31,1
141,47,62,1
203,62,31,1
78,93,15,1
203,62,31,1
203,78,47,1
62,62,31,1
203,78,47,1
109,78,32,2
31,94,93,2
109,78,32,2
78,16,78,1
16,94,62,1
78,16,78,1
125,47,93,1
94,93,63,1
125,47,93,1
78,60,79,1
63,78,141,1
78,60,79,1
