@relation 'gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,8,9,11,14,15,16,17,18,21,22,25,26,27,29,31,34,36,37,38,39,42,43'

@attribute ft1 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtfk5 numeric
@attribute dtfk7 numeric
@attribute ft7 numeric
@attribute ft8 numeric
@attribute dtsk8 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute ft11 numeric
@attribute dtsk11 numeric
@attribute ft12 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
31,78,94,94,62,94,94,62,141,78,94,31,31,47,109,1
32,62,62,94,93,47,125,47,47,79,78,93,78,62,94,1
78,78,94,78,62,94,94,125,141,78,94,31,31,47,109,1
16,62,391,391,79,15,62,109,16,47,47,32,234,31,63,1
16,62,47,516,437,63,94,94,32,62,63,94,172,47,32,1
62,62,391,484,250,78,62,94,16,47,47,32,234,31,63,1
594,78,219,219,79,46,125,63,63,94,93,63,16,79,171,1
31,47,63,62,93,47,109,63,62,47,109,47,62,63,46,1
110,78,219,62,62,16,63,94,63,94,93,63,16,79,171,1
47,78,266,266,78,157,312,63,594,93,31,94,31,94,31,1
93,78,78,0,31,94,94,62,94,47,47,78,78,94,78,1
94,78,266,0,78,16,109,172,594,93,31,94,31,94,31,1
78,63,281,281,62,94,31,63,47,63,156,47,93,47,94,1
78,47,78,0,94,93,32,63,78,62,78,47,94,63,141,1
47,63,281,0,78,47,0,32,47,63,156,47,93,47,94,1
125,78,94,94,78,78,125,62,78,94,63,78,78,63,31,1
16,78,62,47,79,187,94,78,47,47,62,63,46,78,63,1
31,78,94,78,78,47,46,204,78,94,63,78,78,63,31,1
78,63,125,125,16,47,94,78,16,62,78,157,16,125,16,1
188,109,78,156,47,31,78,94,94,93,94,62,62,78,47,1
16,63,125,156,78,47,109,79,16,62,78,157,16,125,16,1
47,93,94,94,31,94,80,31,15,78,79,62,31,16,110,1
94,110,94,532,62,141,16,31,62,62,32,141,47,78,16,1
94,93,94,563,31,78,593,671,15,78,79,62,31,16,110,1
63,62,125,125,78,16,78,78,15,78,31,47,16,94,15,1
16,78,62,0,31,47,78,78,46,47,16,109,109,62,32,1
94,62,125,93,94,31,703,78,15,78,31,47,16,94,15,1
62,78,78,78,78,16,79,93,31,93,78,109,31,78,16,1
15,109,78,156,109,16,78,110,62,79,86,93,93,93,16,1
16,78,78,94,109,16,110,78,31,93,78,109,31,78,16,1
31,62,156,156,78,204,16,78,219,78,141,62,94,78,32,1
31,250,31,0,63,31,141,31,78,78,94,109,78,31,78,1
16,62,156,0,62,32,63,125,219,78,141,62,94,78,32,1
93,16,78,78,62,63,94,62,47,93,15,63,16,63,15,1
32,110,79,0,110,15,110,47,78,78,15,78,94,47,31,1
62,16,78,125,78,16,94,93,47,93,15,63,16,63,15,1
281,78,235,235,78,47,157,125,156,110,47,125,125,62,16,1
16,78,78,94,16,109,47,125,79,62,31,109,141,62,32,1
47,78,235,0,78,110,0,31,156,110,47,125,125,62,16,1
187,63,94,94,62,16,157,78,31,62,47,78,156,94,31,1
15,47,62,94,203,265,78,78,47,62,63,125,94,125,16,1
16,63,94,78,32,15,719,78,31,62,47,78,156,94,31,1
31,93,110,110,78,16,157,62,656,63,78,79,782,15,62,1
15,78,62,640,47,94,15,62,78,141,15,93,62,15,62,1
157,93,110,0,703,16,738,832,656,63,78,79,782,15,62,1
