@relation 'gender-weka.filters.unsupervised.attribute.Remove-R1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,35,36,37,38,39,40,41,42,43'

@attribute ft4 numeric
@attribute dtsk11 numeric
@attribute dtfk12 numeric
@attribute class {1,2}

@data
109,31,109,1
32,93,125,1
109,31,109,1
313,32,94,1
16,94,94,1
313,32,94,1
109,63,78,1
62,47,94,1
109,63,78,1
172,94,94,1
15,78,172,1
172,94,94,1
141,47,15,1
47,47,32,1
141,47,15,1
94,78,62,1
16,63,204,1
94,78,62,1
172,157,203,1
16,62,79,1
172,157,203,1
16,62,672,1
78,141,671,1
16,62,672,1
16,47,93,1
32,109,78,1
16,47,93,1
63,109,94,1
31,93,78,1
63,109,94,1
62,62,15,1
63,109,125,1
62,62,15,1
63,63,78,1
15,78,93,1
63,63,78,1
156,125,109,1
15,109,31,1
156,125,109,1
62,78,109,1
47,125,78,1
62,78,109,1
32,79,766,1
15,93,832,1
32,79,766,1
79,62,109,2
63,78,125,2
79,62,109,2
156,94,109,2
47,62,94,2
156,94,109,2
15,63,78,1
15,62,78,1
15,63,78,1
78,203,94,1
16,110,156,1
78,203,94,1
0,78,78,1
78,78,109,1
0,78,78,1
265,141,47,1
250,78,157,1
265,141,47,1
78,157,109,1
16,109,141,1
78,157,109,1
141,31,16,2
172,31,968,2
141,31,16,2
391,141,93,1
47,140,78,1
391,141,93,1
15,31,94,1
63,94,109,1
15,31,94,1
31,16,16,2
16,62,94,2
31,16,16,2
53,187,110,1
15,78,125,1
53,187,110,1
15,140,78,1
79,78,109,1
15,140,78,1
31,62,78,2
62,62,109,2
31,62,78,2
63,41,63,2
31,94,141,2
63,41,63,2
63,32,62,1
31,94,126,1
63,32,62,1
156,78,187,1
16,78,110,1
156,78,187,1
47,47,63,1
32,62,125,1
47,47,63,1
250,63,47,1
79,63,94,1
250,63,47,1
63,141,78,2
16,62,109,2
63,141,78,2
234,94,78,1
188,78,94,1
234,94,78,1
110,63,109,1
31,78,94,1
110,63,109,1
32,78,63,1
93,125,16,1
32,78,63,1
94,94,93,1
31,78,94,1
94,94,93,1
32,47,63,2
16,63,109,2
32,47,63,2
219,62,63,2
63,93,188,2
219,62,63,2
250,79,94,1
219,79,156,1
250,79,94,1
93,125,79,1
16,63,47,1
93,125,79,1
391,109,109,1
141,62,687,1
391,109,109,1
485,109,125,1
47,125,172,1
485,109,125,1
125,47,78,1
46,63,125,1
125,47,78,1
128,93,47,1
47,172,110,1
128,93,47,1
63,188,47,1
62,62,93,1
63,188,47,1
271,0,47,1
32,94,62,1
271,0,47,1
140,63,63,1
94,62,110,1
140,63,63,1
31,63,32,1
15,93,109,1
31,63,32,1
78,63,141,1
61,62,141,1
78,63,141,1
63,203,94,2
31,62,94,2
63,203,94,2
188,78,93,1
0,62,125,1
188,78,93,1
109,62,31,1
94,63,78,1
109,62,31,1
203,79,78,1
157,78,213,1
203,79,78,1
79,15,63,1
94,62,31,1
79,15,63,1
31,109,110,2
32,140,78,2
31,109,110,2
109,63,47,1
141,62,47,1
109,63,47,1
15,47,78,2
32,78,94,2
15,47,78,2
62,62,110,2
47,63,140,2
62,62,110,2
62,125,110,2
32,110,110,2
62,125,110,2
63,63,63,2
78,63,79,2
63,63,63,2
125,78,109,1
47,110,187,1
125,78,109,1
47,109,16,2
93,79,78,2
47,109,16,2
157,78,78,2
0,78,141,2
157,78,78,2
125,46,94,1
31,78,125,1
125,46,94,1
94,63,78,2
63,78,156,2
94,63,78,2
47,125,125,1
0,94,110,1
47,125,125,1
0,47,46,2
78,46,1390,2
0,47,46,2
16,63,109,1
78,32,31,1
16,63,109,1
16,109,141,1
32,141,375,1
16,109,141,1
109,78,109,1
47,109,94,1
109,78,109,1
62,62,15,2
78,16,0,2
62,62,15,2
31,47,62,1
156,62,47,1
31,47,62,1
31,31,31,1
110,47,1000,1
31,31,31,1
172,63,63,1
62,63,101,1
172,63,63,1
