@relation 'gender-weka.filters.unsupervised.attribute.Remove-R1,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,34,35,36,37,38,39,40,41,43'

@attribute ft1 numeric
@attribute ft4 numeric
@attribute dtfk10 numeric
@attribute dtsk11 numeric
@attribute dtsk14 numeric
@attribute class {1,2}

@data
31,109,141,31,63,1
32,32,47,93,63,1
78,109,141,31,63,1
16,313,16,32,15,1
16,16,32,94,46,1
62,313,16,32,15,1
594,109,63,63,63,1
31,62,62,47,63,1
110,109,63,63,63,1
47,172,594,94,78,1
93,15,94,78,78,1
94,172,594,94,78,1
78,141,47,47,47,1
78,47,78,47,31,1
47,141,47,47,47,1
125,94,78,78,62,1
16,16,47,63,78,1
31,94,78,78,62,1
78,172,16,157,109,1
188,16,94,62,124,1
16,172,16,157,109,1
47,16,15,62,31,1
94,78,62,141,78,1
94,16,15,62,31,1
63,16,15,47,78,1
16,32,46,109,62,1
94,16,15,47,78,1
62,63,31,109,94,1
15,31,62,93,109,1
16,63,31,109,94,1
31,62,219,62,93,1
31,63,78,109,47,1
16,62,219,62,93,1
93,63,47,63,79,1
32,15,78,78,94,1
62,63,47,63,79,1
281,156,156,125,94,1
16,15,79,109,93,1
47,156,156,125,94,1
187,62,31,78,78,1
15,47,47,125,94,1
16,62,31,78,78,1
31,32,656,79,47,1
15,15,78,93,31,1
157,32,656,79,47,1
78,79,141,62,62,2
47,63,78,78,78,2
16,79,141,62,62,2
16,156,156,94,110,2
31,47,63,62,78,2
63,156,156,94,110,2
16,15,31,63,78,1
15,15,63,62,78,1
47,15,31,63,78,1
16,78,94,203,78,1
16,16,172,110,125,1
16,78,94,203,78,1
16,0,109,78,78,1
16,78,63,78,94,1
47,0,109,78,78,1
157,265,46,141,109,1
129,250,94,78,391,1
125,265,46,141,109,1
296,78,78,157,140,1
94,16,78,109,109,1
93,78,78,157,140,1
47,141,63,31,78,2
15,172,15,31,110,2
93,141,63,31,78,2
16,391,297,141,109,1
32,47,78,140,94,1
141,391,297,141,109,1
32,15,94,31,78,1
15,63,78,94,94,1
63,15,94,31,78,1
16,31,16,16,63,2
359,16,62,62,47,2
78,31,16,16,63,2
15,53,156,187,125,1
188,15,79,78,109,1
15,53,156,187,125,1
31,15,78,140,16,1
16,79,63,78,79,1
31,15,78,140,16,1
437,31,125,62,62,2
15,62,78,62,78,2
110,31,125,62,62,2
4369,63,47,41,61,2
4,31,58,94,78,2
6,63,47,41,61,2
62,63,265,32,63,1
16,31,31,94,46,1
31,63,265,32,63,1
62,156,47,78,62,1
31,16,63,78,63,1
47,156,47,78,62,1
32,47,78,47,62,1
47,32,47,62,78,1
125,47,78,47,62,1
141,250,62,63,94,1
109,79,62,63,79,1
78,250,62,63,94,1
156,63,110,141,125,2
15,16,78,62,125,2
78,63,110,141,125,2
282,234,78,94,78,1
297,188,62,78,62,1
797,234,78,94,78,1
32,110,78,63,63,1
16,31,63,78,78,1
172,110,78,63,63,1
0,32,31,78,125,1
16,93,63,125,94,1
31,32,31,78,125,1
15,94,141,94,62,1
16,31,234,78,78,1
31,94,141,94,62,1
32,32,16,47,93,2
32,16,47,63,125,2
78,32,16,47,93,2
141,219,547,62,78,2
78,63,31,93,63,2
109,219,547,62,78,2
172,250,94,79,78,1
359,219,93,79,93,1
313,250,94,79,78,1
94,93,78,125,63,1
16,16,62,63,78,1
31,93,78,125,63,1
16,391,94,109,94,1
0,141,63,62,94,1
109,391,94,109,94,1
31,485,47,109,93,1
16,47,62,125,93,1
16,485,47,109,93,1
63,125,63,47,78,1
15,46,62,63,78,1
0,125,63,47,78,1
547,128,47,93,94,1
16,47,78,172,47,1
78,128,47,93,94,1
15,63,47,188,62,1
78,62,47,62,94,1
31,63,47,188,62,1
47,271,47,0,78,1
31,32,63,94,79,1
0,271,47,0,78,1
94,140,125,63,78,1
47,94,62,62,78,1
78,140,125,63,78,1
31,31,0,63,78,1
46,15,93,93,109,1
0,31,0,63,78,1
78,78,32,63,63,1
0,61,78,62,78,1
47,78,32,63,63,1
125,63,63,203,78,2
16,31,78,62,94,2
0,63,63,203,78,2
16,188,78,78,125,1
16,0,78,62,125,1
31,188,78,78,125,1
16,109,16,62,62,1
78,94,78,63,94,1
79,109,16,62,62,1
62,203,234,79,94,1
63,157,281,78,93,1
0,203,234,79,94,1
47,79,63,15,78,1
63,94,31,62,16,1
15,79,63,15,78,1
47,31,31,109,78,2
16,32,63,140,62,2
31,31,31,109,78,2
16,109,94,63,94,1
110,141,93,62,93,1
110,109,94,63,94,1
31,15,47,47,78,2
0,32,63,78,94,2
16,15,47,47,78,2
343,62,94,62,47,2
0,47,32,63,62,2
47,62,94,62,47,2
31,62,78,125,62,2
32,32,47,110,79,2
109,62,78,125,62,2
78,63,109,63,62,2
62,78,62,63,63,2
78,63,109,63,62,2
93,125,94,78,79,1
78,47,47,110,94,1
16,125,94,78,79,1
47,47,15,109,31,2
16,93,31,79,16,2
156,47,15,109,31,2
32,157,141,78,79,2
16,0,94,78,94,2
78,157,141,78,79,2
63,125,93,46,94,1
32,31,78,78,63,1
78,125,93,46,94,1
109,94,156,63,63,2
47,63,63,78,47,2
62,94,156,63,63,2
47,47,15,125,109,1
16,0,62,94,125,1
0,47,15,125,109,1
47,0,78,47,63,2
15,78,94,46,63,2
47,0,78,47,63,2
15,16,47,63,156,1
15,78,78,32,78,1
31,16,47,63,156,1
47,16,157,109,110,1
16,32,110,141,78,1
110,16,157,109,110,1
78,109,156,78,78,1
15,47,79,109,94,1
375,109,156,78,78,1
79,62,63,62,93,2
125,78,94,16,78,2
31,62,63,62,93,2
47,31,94,47,16,1
156,156,31,62,0,1
156,31,94,47,16,1
15,31,125,31,47,1
31,110,47,47,93,1
62,31,125,31,47,1
62,172,40,63,62,1
47,62,47,63,62,1
62,172,40,63,62,1
