ft10,dtfk13,dtfk14,class
78,78,47,1
62,93,62,1
78,63,47,1
62,62,31,1
63,16,47,1
62,46,31,1
62,63,79,1
94,62,63,1
62,63,79,1
63,63,94,1
78,16,94,1
63,78,94,1
78,16,47,1
63,328,63,1
78,31,47,1
78,78,63,1
78,78,78,1
78,78,63,1
79,109,125,1
78,109,78,1
79,124,125,1
47,15,16,1
63,15,78,1
47,78,16,1
47,16,94,1
63,391,62,1
47,62,94,1
63,94,78,1
78,62,93,1
63,109,78,1
78,62,78,1
47,93,31,1
78,47,78,1
47,110,63,1
79,32,47,1
47,94,63,1
94,63,62,1
78,156,62,1
94,93,62,1
94,32,94,1
110,62,125,1
94,94,94,1
47,47,15,1
63,15,15,1
47,31,15,1
62,32,63,2
78,78,78,2
62,78,63,2
63,156,93,2
62,16,110,2
63,78,93,2
79,15,110,1
78,78,94,1
79,78,110,1
156,94,78,1
62,94,109,1
156,125,78,1
62,78,93,1
78,78,78,1
62,94,93,1
125,125,78,1
172,344,156,1
125,391,78,1
63,62,94,1
94,32,78,1
63,109,94,1
62,16,63,2
63,16,63,2
62,110,63,2
78,344,93,1
94,62,94,1
78,94,93,1
47,15,62,1
63,62,63,1
47,94,62,1
188,16,47,2
63,16,63,2
188,47,47,2
47,110,94,1
78,110,156,1
47,109,94,1
15,79,15,1
62,63,109,1
15,79,15,1
63,125,78,2
78,16,78,2
63,78,78,2
78,81,33,2
68,79,78,2
78,78,33,2
79,41,78,1
62,47,78,1
79,46,78,1
63,109,79,1
93,78,94,1
63,63,79,1
62,47,78,1
109,47,63,1
62,78,78,1
78,62,78,1
78,156,62,1
78,79,78,1
250,15,78,2
78,410,109,2
250,125,78,2
78,78,63,1
94,94,78,1
78,62,63,1
78,47,93,1
93,0,62,1
78,78,93,1
47,47,78,1
78,62,94,1
47,94,78,1
109,78,93,1
328,78,94,1
109,78,93,1
94,20,109,2
47,32,63,2
94,125,109,2
63,62,47,2
828,47,63,2
63,63,47,2
78,63,93,1
94,93,110,1
78,93,93,1
56,78,62,1
78,31,63,1
56,78,62,1
31,15,78,1
62,32,78,1
31,94,78,1
78,0,78,1
94,94,94,1
78,93,78,1
47,63,46,1
78,63,62,1
47,78,46,1
62,32,94,1
78,78,15,1
62,47,94,1
94,47,93,1
78,47,94,1
94,94,93,1
62,32,62,1
62,62,78,1
62,79,62,1
47,63,62,1
78,78,63,1
47,78,62,1
93,31,78,1
110,62,157,1
93,109,78,1
62,31,78,1
78,31,78,1
62,78,78,1
78,47,79,2
78,78,78,2
78,94,79,2
63,125,78,1
47,125,62,1
63,125,78,1
62,156,78,1
78,31,63,1
62,94,78,1
79,78,78,1
63,78,94,1
79,93,78,1
78,48,46,1
78,16,16,1
78,16,46,1
62,31,94,2
78,62,93,2
62,62,94,2
109,110,141,1
110,531,125,1
109,93,141,1
63,16,94,2
78,78,62,2
63,94,94,2
62,47,62,2
125,16,47,2
62,62,62,2
47,16,94,2
94,16,78,2
47,79,94,2
62,47,63,2
78,78,78,2
62,63,63,2
62,94,109,1
93,94,109,1
62,94,109,1
78,16,78,2
63,0,16,2
78,16,78,2
62,94,62,2
78,78,78,2
62,94,62,2
63,63,110,1
109,63,78,1
63,63,110,1
63,78,47,2
78,63,63,2
63,47,47,2
141,78,125,1
110,62,78,1
141,125,125,1
94,31,78,2
62,16,93,2
94,63,78,2
47,0,110,1
109,94,94,1
47,78,110,1
62,94,109,1
93,15,78,1
62,78,109,1
78,78,94,1
62,79,78,1
78,94,94,1
78,31,78,2
94,78,63,2
78,78,78,2
16,31,0,1
94,32,31,1
16,0,0,1
47,46,15,1
93,0,0,1
47,93,15,1
60,63,78,1
78,63,62,1
60,62,78,1
