ft1,ft4,ft5,ft10,dtsk11,ft13,dtsk14,class
31,109,156,78,31,63,63,1
32,32,125,62,93,47,63,1
78,109,140,78,31,140,63,1
16,313,47,62,32,125,15,1
16,16,578,63,94,78,46,1
62,313,79,62,32,32,15,1
594,109,15,62,63,62,63,1
31,62,47,94,47,63,63,1
110,109,32,62,63,266,63,1
47,172,47,63,94,78,78,1
93,15,31,78,78,109,78,1
94,172,16,63,94,47,78,1
78,141,47,78,47,78,47,1
78,47,47,63,47,62,31,1
47,141,31,78,47,62,47,1
125,94,312,78,78,125,62,1
16,16,188,78,63,47,78,1
31,94,172,78,78,218,62,1
78,172,156,79,157,16,109,1
188,16,109,78,62,32,124,1
16,172,547,79,157,16,109,1
47,16,47,47,62,78,31,1
94,78,625,63,141,125,78,1
94,16,656,47,62,31,31,1
63,16,32,47,47,63,78,1
16,32,16,63,109,78,62,1
94,16,16,47,47,16,78,1
62,63,94,63,109,78,94,1
15,31,141,78,93,47,109,1
16,63,78,63,109,63,94,1
31,62,32,78,62,47,93,1
31,63,15,47,109,32,47,1
16,62,47,78,62,63,93,1
93,63,156,47,63,125,79,1
32,15,16,79,78,63,94,1
62,63,16,47,63,63,79,1
281,156,31,94,125,47,94,1
16,15,125,78,109,32,93,1
47,156,46,94,125,32,94,1
187,62,141,94,78,79,78,1
15,47,109,110,125,78,94,1
16,62,94,94,78,31,78,1
31,32,62,47,79,125,47,1
15,15,703,63,93,78,31,1
157,32,15,47,79,109,47,1
78,79,31,62,62,78,62,2
47,63,31,78,78,265,78,2
16,79,16,62,62,219,62,2
16,156,31,63,94,63,110,2
31,47,32,62,62,78,78,2
63,156,94,63,94,110,110,2
16,15,94,79,63,94,78,1
15,15,125,78,62,156,78,1
47,15,125,79,63,32,78,1
16,78,94,156,203,63,78,1
16,16,62,62,110,703,125,1
16,78,93,156,203,31,78,1
16,0,109,62,78,47,78,1
16,78,78,78,78,31,94,1
47,0,78,62,78,172,78,1
157,265,63,125,141,94,109,1
129,250,15,172,78,406,391,1
125,265,46,125,141,31,109,1
296,78,63,63,157,125,140,1
94,16,78,94,109,93,109,1
93,78,62,63,157,156,140,1
47,141,47,62,31,78,78,2
15,172,47,63,31,78,110,2
93,141,1000,62,31,15,78,2
16,391,15,78,141,62,109,1
32,47,15,94,140,94,94,1
141,391,15,78,141,141,109,1
32,15,16,47,31,78,78,1
15,63,15,63,94,31,94,1
63,15,16,47,31,46,78,1
16,31,31,188,16,78,63,2
359,16,15,63,62,78,47,2
78,31,31,188,16,15,63,2
15,53,259,47,187,31,125,1
188,15,172,78,78,15,109,1
15,53,223,47,187,16,125,1
31,15,62,15,140,15,16,1
16,79,63,62,78,47,79,1
31,15,62,15,140,78,16,1
437,31,31,63,62,78,62,2
15,62,16,78,62,78,78,2
110,31,16,63,62,94,62,2
4369,63,442,78,41,37,61,2
4,31,411,68,94,13,78,2
6,63,185,78,41,15,61,2
62,63,125,79,32,65,63,1
16,31,125,62,94,63,46,1
31,63,125,79,32,47,63,1
62,156,16,63,78,32,62,1
31,16,15,93,78,16,63,1
47,156,109,63,78,62,62,1
32,47,141,62,47,94,62,1
47,32,157,109,62,47,78,1
125,47,140,62,47,62,62,1
141,250,62,78,63,125,94,1
109,79,62,78,63,16,79,1
78,250,63,78,63,31,94,1
156,63,47,250,141,63,125,2
15,16,31,78,62,94,125,2
78,63,15,250,141,266,125,2
282,234,47,78,94,297,78,1
297,188,63,94,78,484,62,1
797,234,203,78,94,375,78,1
32,110,63,78,63,78,63,1
16,31,16,93,78,78,78,1
172,110,938,78,63,63,63,1
0,32,16,47,78,78,125,1
16,93,31,78,125,16,94,1
31,32,31,47,78,62,125,1
15,94,203,109,94,78,62,1
16,31,0,328,78,32,78,1
31,94,171,109,94,16,62,1
32,32,0,94,47,88,93,2
32,16,31,47,63,32,125,2
78,32,47,94,47,15,93,2
141,219,31,63,62,188,78,2
78,63,94,828,93,172,63,2
109,219,78,63,62,125,78,2
172,250,110,78,79,422,78,1
359,219,78,94,79,547,93,1
313,250,250,78,79,203,78,1
94,93,31,56,125,78,63,1
16,16,594,78,63,47,78,1
31,93,16,56,125,172,63,1
16,391,31,31,109,78,94,1
0,141,32,62,62,110,94,1
109,391,31,31,109,62,94,1
31,485,47,78,109,125,93,1
16,47,31,94,125,15,93,1
16,485,16,78,109,125,93,1
63,125,171,47,47,78,78,1
15,46,31,78,63,125,78,1
0,125,47,47,47,62,78,1
547,128,40,62,93,93,94,1
16,47,734,78,172,0,47,1
78,128,47,62,93,78,94,1
15,63,188,94,188,109,62,1
78,62,207,78,62,438,94,1
31,63,687,94,188,47,62,1
47,271,47,62,0,94,78,1
31,32,47,62,94,32,79,1
0,271,140,62,0,31,78,1
94,140,250,47,63,125,78,1
47,94,125,78,62,63,78,1
78,140,172,47,63,78,78,1
31,31,31,93,63,94,78,1
46,15,125,110,93,47,109,1
0,31,93,93,63,0,78,1
78,78,94,62,63,79,63,1
0,61,94,78,62,31,78,1
47,78,78,62,63,47,63,1
125,63,47,78,203,78,78,2
16,31,78,78,62,78,94,2
0,63,78,78,203,31,78,2
16,188,31,63,78,125,125,1
16,0,31,47,62,0,125,1
31,188,0,63,78,31,125,1
16,109,47,62,62,110,62,1
78,94,140,78,63,125,94,1
79,109,15,62,62,0,62,1
62,203,249,79,79,391,94,1
63,157,204,63,78,516,93,1
0,203,63,79,79,235,94,1
47,79,15,78,15,5,78,1
63,94,0,78,62,94,16,1
15,79,125,78,15,110,78,1
47,31,31,62,109,78,78,2
16,32,59,78,140,32,62,2
31,31,31,62,109,32,78,2
16,109,156,109,63,93,94,1
110,141,0,110,62,140,93,1
110,109,156,109,63,110,94,1
31,15,47,63,47,78,78,2
0,32,16,78,78,15,94,2
16,15,63,63,47,15,78,2
343,62,125,62,62,78,47,2
0,47,62,125,63,78,62,2
47,62,46,62,62,47,47,2
31,62,15,47,125,93,62,2
32,32,46,94,110,78,79,2
109,62,94,47,125,46,62,2
78,63,62,62,63,31,62,2
62,78,125,78,63,47,63,2
78,63,125,62,63,31,62,2
93,125,78,62,78,47,79,1
78,47,32,93,110,31,94,1
16,125,47,62,78,78,79,1
47,47,47,78,109,47,31,2
16,93,500,63,79,94,16,2
156,47,47,78,109,93,31,2
32,157,172,62,78,15,79,2
16,0,157,78,78,47,94,2
78,157,156,62,78,156,79,2
63,125,219,63,46,94,94,1
32,31,187,109,78,16,63,1
78,125,234,63,46,31,94,1
109,94,187,63,63,78,63,2
47,63,62,78,78,78,47,2
62,94,140,63,63,47,63,2
47,47,32,141,125,109,109,1
16,0,78,110,94,140,125,1
