ft1,dtsk1,dtfk4,dtsk4,dtsk5,dtfk6,ft6,dtfk7,ft7,dtsk7,dtfk8,dtfk10,ft10,dtsk10,ft11,dtsk11,ft12,dtsk12,dtfk13,ft13,dtfk14,ft14,dtsk14,class
31,63,78,94,78,62,110,62,94,94,78,141,78,78,94,31,31,79,78,63,47,109,63,1
32,93,62,62,94,78,62,93,47,78,78,47,62,79,78,93,78,156,93,47,62,94,63,1
78,93,78,94,94,47,62,62,94,78,93,141,78,78,94,31,31,79,63,140,47,109,63,1
16,109,62,391,62,62,16,79,15,78,94,16,62,47,47,32,234,78,62,125,31,63,15,1
16,78,62,47,32,47,125,437,63,62,78,32,63,62,63,94,172,16,16,78,47,32,46,1
62,16,62,391,62,79,47,250,78,47,90,16,62,47,47,32,234,78,46,32,31,63,15,1
594,62,78,219,63,78,125,79,46,47,78,63,62,94,93,63,16,78,63,62,79,171,63,1
31,63,47,63,94,94,62,93,47,63,63,62,94,47,109,47,62,16,62,63,63,46,63,1
110,62,78,219,94,16,78,62,16,78,79,63,62,94,93,63,16,78,63,266,79,171,63,1
47,156,78,266,94,93,63,78,157,93,94,594,63,93,31,94,31,78,63,78,94,31,78,1
93,94,78,78,78,93,63,31,94,63,63,94,78,47,47,78,78,63,16,109,94,78,78,1
94,16,78,266,78,62,31,78,16,93,62,594,63,93,31,94,31,78,78,47,94,31,78,1
78,94,63,281,47,32,187,62,94,62,125,47,78,63,156,47,93,16,16,78,47,94,47,1
78,78,47,78,47,63,94,94,93,16,187,78,63,62,78,47,94,156,328,62,63,141,31,1
47,328,63,281,109,78,15,78,47,78,63,47,78,63,156,47,93,16,31,62,47,94,47,1
125,109,78,94,78,94,93,78,78,63,63,78,78,94,63,78,78,78,78,125,63,31,62,1
16,78,78,62,78,94,78,79,187,78,62,47,78,47,62,63,46,79,78,47,78,63,78,1
31,78,78,94,78,31,63,78,47,78,78,78,78,94,63,78,78,78,78,218,63,31,62,1
78,125,63,125,125,47,62,16,47,31,94,16,79,62,78,157,16,78,109,16,125,16,109,1
188,47,109,78,125,62,78,47,31,109,109,94,78,93,94,62,62,47,109,32,78,47,124,1
16,109,63,125,172,15,79,78,47,125,78,16,79,62,78,157,16,78,124,16,125,16,109,1
47,141,93,94,31,16,62,31,94,16,4,15,47,78,79,62,31,78,15,78,16,110,31,1
94,15,110,94,32,78,141,62,141,15,172,62,63,62,32,141,47,125,15,125,78,16,78,1
94,15,93,94,32,156,31,31,78,16,72,15,47,78,79,62,31,78,78,31,16,110,31,1
63,125,62,125,16,110,31,78,16,62,78,15,47,78,31,47,16,94,16,63,94,15,78,1
16,78,78,62,47,78,140,31,47,16,63,46,63,47,16,109,109,94,391,78,62,32,62,1
94,391,62,125,78,62,16,94,31,93,77,15,47,78,31,47,16,94,62,16,94,15,78,1
