@relation 'gender-weka.filters.unsupervised.attribute.Remove-R2,3,4,6,8,9,11,13,14,16,17,19,20,23,25,27,29,33,42,43'

@attribute dtfk1 numeric
@attribute ft2 numeric
@attribute dtfk3 numeric
@attribute dtfk4 numeric
@attribute dtsk4 numeric
@attribute dtsk5 numeric
@attribute dtsk6 numeric
@attribute dtsk7 numeric
@attribute dtfk8 numeric
@attribute dtsk8 numeric
@attribute ft9 numeric
@attribute dtfk10 numeric
@attribute dtsk10 numeric
@attribute dtfk11 numeric
@attribute ft11 numeric
@attribute dtfk12 numeric
@attribute ft12 numeric
@attribute dtsk12 numeric
@attribute dtfk13 numeric
@attribute ft13 numeric
@attribute dtsk13 numeric
@attribute dtfk14 numeric
@attribute ft14 numeric
@attribute class {1,2}

@data
47,172,62,78,94,78,62,94,78,62,94,141,78,94,94,109,31,79,78,63,94,47,109,1
62,94,62,62,62,94,79,78,78,47,78,47,79,110,78,125,78,156,93,47,78,62,94,1
63,78,94,78,94,94,94,78,93,125,94,141,78,94,94,109,31,79,63,140,47,47,109,1
109,32,78,62,391,62,78,78,94,109,94,16,47,62,47,94,234,78,62,125,16,31,63,1
78,93,93,62,47,32,16,62,78,94,31,32,62,47,63,94,172,16,16,78,94,47,32,1
32,172,78,62,391,62,15,47,90,94,63,16,47,62,47,94,234,78,46,32,62,31,63,1
78,188,62,78,219,63,63,47,78,63,16,63,94,63,93,78,16,78,63,62,78,79,171,1
63,31,62,47,63,94,47,63,63,63,78,62,47,47,109,94,62,16,62,63,78,63,46,1
78,94,47,78,219,94,94,78,79,94,47,63,94,63,93,78,16,78,63,266,109,79,171,1
119,16,94,78,266,94,94,93,94,63,46,594,93,109,31,94,31,78,63,78,15,94,31,1
94,16,78,78,78,78,844,63,63,62,47,94,47,110,47,172,78,63,16,109,78,94,78,1
15,32,93,78,266,78,63,93,62,172,62,594,93,109,31,94,31,78,78,47,110,94,31,1
78,141,78,63,281,47,47,62,125,63,140,47,63,93,156,15,93,16,16,78,94,47,94,1
47,78,63,47,78,47,62,16,187,63,94,78,62,16,78,32,94,156,328,62,47,63,141,1
235,219,62,63,281,109,47,78,63,32,94,47,63,93,156,15,93,16,31,62,328,47,94,1
79,109,94,78,94,78,94,63,63,62,94,78,94,78,63,62,78,78,78,125,63,63,31,1
94,16,62,78,62,78,94,78,62,78,94,47,47,78,62,204,46,79,78,47,78,78,63,1
78,109,63,78,94,78,125,78,78,204,15,78,94,78,63,62,78,78,78,218,79,63,31,1
109,94,94,63,125,125,125,31,94,78,93,16,62,141,78,203,16,78,109,16,94,125,16,1
125,125,16,109,78,125,110,109,109,94,94,94,93,94,94,79,62,47,109,32,78,78,47,1
93,78,31,63,125,172,93,125,78,79,78,16,62,141,78,203,16,78,124,16,78,125,16,1
94,47,94,93,94,31,110,16,4,31,640,15,78,16,79,672,31,78,15,78,32,16,110,1
110,125,63,110,94,32,47,15,172,31,109,62,62,78,32,671,47,125,15,125,15,78,16,1
31,141,16,93,94,32,47,16,72,671,734,15,78,16,79,672,31,78,78,31,109,16,110,1
62,31,94,62,125,16,62,62,78,78,31,15,78,94,31,93,16,94,16,63,31,94,15,1
62,16,62,78,62,47,32,16,63,78,32,46,47,94,16,78,109,94,391,78,15,62,32,1
16,172,62,62,125,78,62,93,77,78,1375,15,78,94,31,93,16,94,62,16,62,94,15,1
94,109,109,78,78,78,110,62,109,93,94,31,93,94,78,94,31,109,94,78,78,78,16,1
110,78,93,109,78,266,109,94,93,110,62,62,79,75,86,78,93,47,62,47,78,93,16,1
109,94,62,78,78,109,110,62,110,78,172,31,93,94,78,94,31,109,109,63,78,78,16,1
78,171,63,62,156,78,94,78,140,78,109,219,78,31,141,15,94,484,62,47,78,78,32,1
94,31,79,250,31,79,157,62,31,31,78,78,78,15,94,125,78,62,93,32,78,31,78,1
94,94,78,62,156,141,16,78,78,125,78,219,78,31,141,15,94,484,47,63,31,78,32,1
47,125,47,16,78,31,78,78,78,62,63,47,93,172,15,78,16,125,110,125,93,63,15,1
78,15,94,110,79,78,15,110,62,47,31,78,78,78,15,93,94,16,32,63,47,47,31,1
16,31,78,16,78,125,94,78,78,93,31,47,93,172,15,78,16,125,94,63,93,63,15,1
47,500,94,78,235,94,250,63,78,125,94,156,110,156,47,109,125,62,63,47,265,62,16,1
250,15,94,78,78,109,141,63,62,125,173,79,62,203,31,31,141,343,156,32,93,62,32,1
78,141,63,78,235,109,43,93,78,31,1172,156,110,156,47,109,125,62,93,32,78,62,16,1
78,110,78,63,94,78,110,94,78,78,109,31,62,78,47,109,156,110,32,79,78,94,31,1
110,79,78,47,62,79,62,32,62,78,94,47,62,156,63,78,94,156,62,78,78,125,16,1
94,63,94,63,94,63,16,93,110,78,63,31,62,78,47,109,156,110,94,31,63,94,31,1
109,79,94,93,110,62,63,63,79,62,94,656,63,32,78,766,782,15,47,125,16,15,62,1
63,93,93,78,62,63,141,47,16,62,31,78,141,110,15,832,62,32,15,78,15,15,62,1
94,63,63,93,110,125,16,47,62,832,812,656,63,32,78,766,782,15,31,109,16,15,62,1
78,78,109,109,109,78,78,78,110,62,16,141,109,140,16,109,203,63,32,78,109,63,16,2
78,47,93,125,62,141,203,32,78,63,203,78,63,109,16,125,63,94,78,265,110,78,16,2
78,31,78,109,109,94,62,109,63,125,156,141,109,140,16,109,203,63,78,219,78,63,16,2
